Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"18 Sep 2025"
"SPBK1 NORD-NORGE";NO0006000801;NONG;"Oslo Børs";NOK;141.60;141.60;138.98;139.56;"17/09/2025 16:25";CET;51384;7174809.00;139.56;17/09/2025
"SPBK1 RINGERIKE";NO0006390400;RING;"Oslo Børs";NOK;389.00;392.00;389.00;392.00;"17/09/2025 14:43";CET;1056;413785.00;392.00;17/09/2025
"SPBK1 ØSTFOLD AKE";NO0010285562;SOAG;"Oslo Børs";NOK;434.05;434.05;434.05;434.05;"17/09/2025 09:24";CET;2002;880868.10;434.05;17/09/2025
"SPIR GROUP";NO0012548819;SPIR;"Oslo Børs";NOK;7.90;7.96;7.82;7.96;"17/09/2025 16:25";CET;418573;3326290.63;7.96;17/09/2025
STOLT-NIELSEN;BMG850801025;SNI;"Oslo Børs";NOK;352.50;354.00;347.50;354.00;"17/09/2025 16:25";CET;57710;20248527.50;354.00;17/09/2025
STOREBRAND;NO0003053605;STB;"Oslo Børs";NOK;156.40;156.60;154.90;156.20;"17/09/2025 16:25";CET;965642;150715017.50;156.20;17/09/2025
STRONGPOINT;NO0010098247;STRO;"Oslo Børs";NOK;10.80;10.90;10.75;10.90;"17/09/2025 16:25";CET;41775;451093.85;10.90;17/09/2025
"SUBSEA 7";LU0075646355;SUBC;"Oslo Børs";NOK;201.00;202.20;199.60;201.80;"17/09/2025 16:25";CET;198276;39902459.30;201.80;17/09/2025
TECHSTEP;NO0012916131;TECH;"Oslo Børs";NOK;13.40;13.40;12.75;12.80;"17/09/2025 16:25";CET;13796;177263.90;12.80;17/09/2025
"TEKNA HOLDING";NO0010951577;TEKNA;"Oslo Børs";NOK;4.99;4.99;4.52;4.53;"17/09/2025 16:18";CET;32224;149055.16;4.53;17/09/2025
TELENOR;NO0010063308;TEL;"Oslo Børs";NOK;167.80;168.40;166.90;167.20;"17/09/2025 16:25";CET;1419496;237470994.20;167.20;17/09/2025
TGS;NO0003078800;TGS;"Oslo Børs";NOK;72.45;73.25;72.10;72.70;"17/09/2025 16:25";CET;194325;14117475.60;72.70;17/09/2025
"THOR MEDICAL";NO0010597883;TRMED;"Oslo Børs";NOK;4.72;4.80;4.51;4.675;"17/09/2025 16:29";CET;7524309;35029863.29;4.675;17/09/2025
TIETOEVRY;FI0009000277;TIETO;"Oslo Børs";NOK;185.40;185.70;185.00;185.20;"17/09/2025 16:25";CET;10423;1931268.50;185.20;17/09/2025
"TOMRA SYSTEMS";NO0012470089;TOM;"Oslo Børs";NOK;153.00;158.30;152.30;154.00;"17/09/2025 16:25";CET;540120;83956719.00;154.00;17/09/2025
TREASURE;NO0010763550;TRE;"Oslo Børs";NOK;39.10;39.40;37.80;39.40;"17/09/2025 16:25";CET;8501;328888.50;39.40;17/09/2025
"TRØNDELAG SPBK";NO0010788268;TRSB;"Oslo Børs";NOK;116.96;116.96;115.00;115.00;"12/09/2025 10:53";CET;62;7208.40;115.00;17/09/2025
VEIDEKKE;NO0005806802;VEI;"Oslo Børs";NOK;163.00;163.20;161.40;162.40;"17/09/2025 16:25";CET;25605;4158066.80;162.40;17/09/2025
"VEND SER. A";NO0003028904;VENDA;"Oslo Børs";NOK;396.00;396.00;384.80;385.20;"17/09/2025 16:27";CET;126447;48767613.60;385.20;17/09/2025
"VEND SER. B";NO0010736879;VENDB;"Oslo Børs";NOK;366.80;370.20;362.40;362.40;"17/09/2025 16:26";CET;47504;17253901.20;362.40;17/09/2025
"VISTIN PHARMA";NO0010734122;VISTN;"Oslo Børs";NOK;23.20;23.40;23.20;23.40;"17/09/2025 16:16";CET;1159;27030.80;23.40;17/09/2025
"VOSS VEKSEL OGLAND";NO0003025009;VVL;"Oslo Børs";NOK;376.00;378.00;376.00;378.00;"17/09/2025 13:40";CET;154;58064.00;378.00;17/09/2025
VOW;NO0010708068;VOW;"Oslo Børs";NOK;2.185;2.19;2.055;2.08;"17/09/2025 16:29";CET;1403963;2945750.89;2.08;17/09/2025
"VÅR ENERGI";NO0011202772;VAR;"Oslo Børs";NOK;32.71;32.88;32.22;32.58;"17/09/2025 16:27";CET;3840818;124910775.36;32.58;17/09/2025
"WALLENIUS WILHELMS";NO0010571680;WAWI;"Oslo Børs";NOK;94.00;94.45;92.95;94.05;"17/09/2025 16:25";CET;297727;27931659.05;94.05;17/09/2025
WEBSTEP;NO0010609662;WSTEP;"Oslo Børs";NOK;22.20;22.40;22.00;22.40;"17/09/2025 16:25";CET;42387;941507.60;22.40;17/09/2025
"WILH. WILHELMSEN A";NO0010571698;WWI;"Oslo Børs";NOK;526.00;527.00;516.00;521.00;"17/09/2025 16:25";CET;16447;8570866.00;521.00;17/09/2025
"WILH. WILHELMSEN B";NO0010576010;WWIB;"Oslo Børs";NOK;498.50;501.00;492.00;494.50;"17/09/2025 16:25";CET;3694;1829567.50;494.50;17/09/2025
"YARA INTERNATIONAL";NO0010208051;YAR;"Oslo Børs";NOK;367.10;367.70;361.20;362.60;"17/09/2025 16:27";CET;364985;132424467.90;362.60;17/09/2025
ZALARIS;NO0010708910;ZAL;"Oslo Børs";NOK;76.00;77.80;76.00;76.00;"17/09/2025 16:25";CET;19011;1458791.40;76.00;17/09/2025
ZAPTEC;NO0010713936;ZAP;"Oslo Børs";NOK;28.90;30.00;28.90;30.00;"17/09/2025 16:25";CET;469287;13925442.20;30.00;17/09/2025
ZELLUNA;NO0013524942;ZLNA;"Oslo Børs";NOK;13.20;13.20;12.70;12.70;"17/09/2025 16:27";CET;3162;41603.07;12.70;17/09/2025
